equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Racing 92,3,48 %,49 %,51 %,51 %,50 %,5,2,3,0,15,12,2,6,0,10,132,14,19,23,117, 21,RC Toulon,2025-10-19 21:05:00
LOU Rugby,3,43 %,39 %,31 %,63 %,43 %,9,4,3,2,12,9,0,6,0,12,138,19,20,18,79,19 ,Stade Rochelais,2025-10-25 14:30:00
Stade Rochelais,5,57 %,61 %,69 %,37 %,57 %,9,2,5,2,14,12,1,9,1,7,120,8,17,28,152, 36,LOU Rugby,2025-10-25 14:30:00
ASM Clermont,9,57 %,62 %,61 %,38 %,61 %,7,1,5,1,16,13,2,5,0,7,86,8,17,31,127,63 ,Castres Olympique,2025-10-25 16:35:00
Castres Olympique,1,43 %,38 %,39 %,62 %,39 %,9,4,3,2,15,11,0,3,3,11,128,5,24,22,77, 14,ASM Clermont,2025-10-25 16:35:00
Racing 92,0,44 %,50 %,39 %,51 %,50 %,7,0,6,1,16,13,1,13,5,12,179,11,26,34,102,15 ,Section Paloise,2025-10-25 16:35:00
Section Paloise,2,56 %,50 %,61 %,49 %,50 %,8,1,6,1,12,8,2,7,0,12,97,5,6,32,128, 10,Racing 92,2025-10-25 16:35:00
Stade Français Paris,5,46 %,50 %,62 %,50 %,50 %,7,1,5,1,18,16,1,7,0,6,126,6,18,37,144,35 ,Montpellier Hérault Rugby,2025-10-25 16:35:00
Montpellier Hérault Rugby,2,54 %,50 %,38 %,50 %,50 %,7,2,4,1,19,16,0,8,0,5,90,4,15,31,161, 12,Stade Français Paris,2025-10-25 16:35:00
US Montauban,2,52 %,53 %,43 %,47 %,52 %,13,4,6,3,12,9,0,5,5,15,94,1,13,22,102,29 ,USA Perpignan,2025-10-25 16:35:00
USA Perpignan,1,48 %,47 %,57 %,53 %,48 %,7,2,4,1,13,10,0,10,5,15,92,6,15,18,86, 22,US Montauban,2025-10-25 16:35:00
