equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Stade Français Paris,4,45 %,48 %,51 %,52 %,49 %,8,2,5,1,17,15,1,5,1,8,110,8,20,26,97,31 ,LOU Rugby,2025-05-17 16:30:00
LOU Rugby,3,55 %,52 %,49 %,48 %,51 %,6,1,5,0,13,12,1,5,3,10,80,5,17,24,139, 30,Stade Français Paris,2025-05-17 16:30:00
Stade Toulousain,5,54 %,42 %,39 %,60 %,42 %,6,0,5,1,16,12,1,9,0,13,130,8,9,13,175,35 ,Racing 92,2025-05-17 21:05:00
Racing 92,4,46 %,58 %,61 %,40 %,58 %,7,0,7,0,12,10,2,4,3,16,157,16,33,25,112, 37,Stade Toulousain,2025-05-17 21:05:00
Stade Rochelais,5,53 %,62 %,71 %,33 %,58 %,7,0,7,0,16,12,1,6,3,9,108,12,21,19,141,47 ,Montpellier Hérault Rugby,2025-05-18 21:05:00
Montpellier Hérault Rugby,2,47 %,38 %,29 %,67 %,42 %,6,0,5,1,15,12,3,3,2,14,149,8,33,14,126, 18,Stade Rochelais,2025-05-18 21:05:00
ASM Clermont,7,60 %,56 %,93 %,44 %,56 %,6,1,4,1,14,12,1,5,2,8,68,7,19,27,142,55 ,Stade Français Paris,2025-05-31 14:30:00
Stade Français Paris,1,40 %,44 %,7 %,56 %,44 %,7,2,3,2,15,9,1,4,5,8,149,11,23,30,82, 20,ASM Clermont,2025-05-31 14:30:00
Castres Olympique,4,57 %,64 %,73 %,35 %,60 %,18,1,14,3,15,13,0,8,3,5,81,4,18,24,114,33 ,Aviron Bayonnais,2025-05-31 16:30:00
Aviron Bayonnais,0,43 %,36 %,27 %,65 %,40 %,7,1,4,2,12,11,0,10,1,18,119,21,26,16,133, 3,Castres Olympique,2025-05-31 16:30:00
Racing 92,3,44 %,52 %,46 %,47 %,52 %,4,2,2,0,14,11,1,11,2,11,115,8,16,24,141,25 ,Montpellier Hérault Rugby,2025-05-31 16:30:00
Montpellier Hérault Rugby,3,56 %,48 %,54 %,53 %,48 %,12,1,10,1,13,12,2,4,2,7,93,8,24,30,113, 27,Racing 92,2025-05-31 16:30:00
RC Vannes,4,55 %,46 %,53 %,55 %,45 %,9,1,6,2,16,11,0,6,0,7,130,11,30,32,142,26 ,Section Paloise,2025-05-31 16:30:00
Section Paloise,7,45 %,54 %,47 %,45 %,55 %,6,0,6,0,10,8,4,8,1,12,168,12,12,24,142, 52,RC Vannes,2025-05-31 16:30:00
Stade Rochelais,5,66 %,67 %,78 %,33 %,62 %,11,2,7,2,16,15,1,2,1,15,64,6,15,18,157,38 ,USA Perpignan,2025-05-31 16:30:00
USA Perpignan,0,34 %,33 %,22 %,67 %,38 %,6,0,6,1,15,12,1,3,5,15,168,8,38,16,78, 15,Stade Rochelais,2025-05-31 16:30:00
Stade Toulousain,7,59 %,54 %,51 %,48 %,52 %,7,0,7,0,13,10,2,6,0,9,97,2,17,25,217,43 ,LOU Rugby,2025-06-01 17:30:00
LOU Rugby,0,41 %,46 %,49 %,52 %,48 %,9,0,8,1,16,11,1,8,1,12,162,17,26,17,97, 3,Stade Toulousain,2025-06-01 17:30:00
RC Toulon,3,58 %,55 %,73 %,45 %,57 %,12,1,10,1,12,11,1,7,2,8,128,11,22,28,179,27 ,Union Bordeaux-Bègles,2025-06-01 21:05:00
Union Bordeaux-Bègles,1,42 %,45 %,27 %,55 %,43 %,8,2,4,2,13,11,0,11,1,7,135,8,40,20,96, 10,RC Toulon,2025-06-01 21:05:00
Aviron Bayonnais,2,48 %,54 %,47 %,43 %,54 %,4,1,3,0,14,10,0,5,2,15,147,12,34,21,118,18 ,RC Toulon,2025-06-07 21:05:00
RC Toulon,1,52 %,46 %,53 %,57 %,46 %,8,1,6,1,20,19,2,4,1,13,141,12,17,23,146, 10,Aviron Bayonnais,2025-06-07 21:05:00
LOU Rugby,5,47 %,51 %,66 %,48 %,51 %,1,0,1,0,19,14,2,6,1,6,152,8,31,36,121,34 ,Racing 92,2025-06-07 21:05:00
Racing 92,6,53 %,49 %,34 %,52 %,49 %,6,0,6,0,15,13,2,4,3,8,121,8,21,35,160, 47,LOU Rugby,2025-06-07 21:05:00
Montpellier Hérault Rugby,1,46 %,37 %,39 %,64 %,37 %,9,2,5,2,14,10,1,9,1,10,145,12,27,32,132,10 ,ASM Clermont,2025-06-07 21:05:00
ASM Clermont,2,54 %,63 %,61 %,36 %,63 %,7,1,5,1,14,10,1,8,3,6,117,8,30,36,145, 23,Montpellier Hérault Rugby,2025-06-07 21:05:00
Section Paloise,4,52 %,54 %,45 %,46 %,53 %,10,0,9,1,16,16,0,4,2,9,148,14,14,27,120,32 ,Stade Rochelais,2025-06-07 21:05:00
Stade Rochelais,2,48 %,46 %,55 %,54 %,47 %,6,1,2,3,13,11,0,6,2,11,131,7,16,20,140, 18,Section Paloise,2025-06-07 21:05:00
Stade Français Paris,2,55 %,70 %,96 %,30 %,69 %,14,3,10,1,11,8,1,6,2,9,67,8,8,37,89,21 ,Castres Olympique,2025-06-07 21:05:00
Castres Olympique,1,45 %,30 %,4 %,70 %,31 %,9,0,9,0,12,9,2,12,1,15,94,4,16,30,72, 10,Stade Français Paris,2025-06-07 21:05:00
Union Bordeaux-Bègles,9,47 %,45 %,53 %,57 %,47 %,4,1,3,0,20,18,2,10,0,11,155,6,25,26,130,59 ,RC Vannes,2025-06-07 21:05:00
RC Vannes,4,53 %,55 %,47 %,43 %,53 %,8,1,7,0,13,10,2,6,0,17,108,9,24,23,200, 28,Union Bordeaux-Bègles,2025-06-07 21:05:00
USA Perpignan,6,54 %,51 %,60 %,49 %,50 %,7,1,5,1,16,13,2,9,0,10,115,13,29,16,158,42 ,Stade Toulousain,2025-06-07 21:05:00
Stade Toulousain,5,46 %,49 %,40 %,51 %,50 %,12,1,7,4,11,9,2,7,0,11,140,4,21,16,121, 35,USA Perpignan,2025-06-07 21:05:00
Aviron Bayonnais,1,67 %,72 %,86 %,29 %,77 %,13,0,10,3,19,12,2,5,4,7,41,7,8,32,117,20 ,ASM Clermont,2025-06-13 21:05:00
ASM Clermont,0,33 %,28 %,14 %,71 %,23 %,6,1,5,0,14,9,3,8,1,15,130,14,24,27,29, 3,Aviron Bayonnais,2025-06-13 21:05:00
RC Toulon,6,57 %,60 %,69 %,39 %,59 %,9,1,7,1,15,11,0,5,4,5,92,11,25,28,116,52 ,Castres Olympique,2025-06-14 21:05:00
Castres Olympique,2,43 %,40 %,31 %,61 %,41 %,5,1,4,0,9,7,1,6,3,13,121,12,33,28,75, 23,RC Toulon,2025-06-14 21:05:00
FC Grenoble Rugby,1,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11 ,USA Perpignan,2025-06-14 18:00:00
USA Perpignan,1,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0, 13,FC Grenoble Rugby,2025-06-14 18:00:00
Stade Toulousain,2,45 %,48 %,34 %,52 %,48 %,8,0,6,2,22,17,2,5,6,13,135,11,18,34,84,32 ,Aviron Bayonnais,2025-06-20 21:05:00
Aviron Bayonnais,1,55 %,52 %,66 %,48 %,52 %,6,2,4,0,14,11,3,10,6,15,73,6,10,26,104, 25,Stade Toulousain,2025-06-20 21:05:00
Union Bordeaux-Bègles,5,53 %,55 %,54 %,45 %,54 %,8,0,8,0,14,13,2,4,2,9,120,8,18,44,142,39 ,RC Toulon,2025-06-21 21:05:00
RC Toulon,3,47 %,45 %,46 %,55 %,46 %,9,0,7,2,13,8,0,13,1,7,128,7,26,27,113, 24,Union Bordeaux-Bègles,2025-06-21 21:05:00
Stade Toulousain,3,53 %,57 %,64 %,43 %,56 %,13,1,8,4,13,9,1,6,6,8,130,10,31,41,139,39 ,Union Bordeaux-Bègles,2025-06-28 21:05:00
Union Bordeaux-Bègles,3,47 %,43 %,36 %,57 %,44 %,9,1,8,0,15,13,2,7,4,17,172,7,25,38,152, 33,Stade Toulousain,2025-06-28 21:05:00
Aviron Bayonnais,2,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26 ,Stade Toulousain,2023-08-18 21:05:00
Stade Toulousain,1,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 7,Aviron Bayonnais,2023-08-18 21:05:00
Racing 92,2,58 %,62 %,48 %,38 %,60 %,9,1,6,2,13,11,3,6,3,9,70,3,10,29,161,23 ,Union Bordeaux-Bègles,2023-08-19 14:00:00
Union Bordeaux-Bègles,2,42 %,38 %,52 %,62 %,40 %,7,0,5,2,17,11,2,4,2,12,134,13,15,26,76, 18,Racing 92,2023-08-19 14:00:00
USA Perpignan,1,46 %,45 %,38 %,55 %,45 %,7,2,4,1,16,9,1,8,0,14,75,5,14,17,92,7 ,Stade Français Paris,2023-08-19 18:10:00
Stade Français Paris,2,54 %,55 %,62 %,45 %,55 %,13,3,7,3,10,9,4,6,5,11,75,8,21,31,74, 29,USA Perpignan,2023-08-19 18:10:00
Oyonnax Rugby,3,45 %,42 %,33 %,57 %,42 %,9,2,7,0,13,11,2,5,5,8,93,16,12,19,70,36 ,ASM Clermont,2023-08-19 18:10:00
ASM Clermont,2,55 %,58 %,67 %,43 %,58 %,10,2,5,3,13,9,1,7,1,10,62,9,10,16,104, 17,Oyonnax Rugby,2023-08-19 18:10:00
Castres Olympique,0,43 %,49 %,35 %,51 %,49 %,1,0,1,0,13,9,0,5,8,13,149,16,25,44,91,24 ,Section Paloise,2023-08-19 18:10:00
Section Paloise,2,57 %,51 %,65 %,49 %,51 %,10,3,4,3,14,12,2,3,3,13,91,8,9,32,147, 23,Castres Olympique,2023-08-19 18:10:00
LOU Rugby,3,48 %,56 %,71 %,42 %,55 %,8,2,5,1,14,9,1,3,2,9,111,10,19,23,145,27 ,RC Toulon,2023-08-19 18:10:00
RC Toulon,0,52 %,44 %,29 %,58 %,45 %,7,1,5,1,9,7,1,6,5,10,124,4,17,23,133, 15,LOU Rugby,2023-08-19 18:10:00
Montpellier Hérault Rugby,2,47 %,32 %,16 %,70 %,34 %,10,5,4,1,15,12,0,2,4,13,129,12,12,30,63,26 ,Stade Rochelais,2023-08-20 21:05:00
Stade Rochelais,2,53 %,68 %,84 %,30 %,66 %,4,1,3,0,18,17,1,8,1,14,86,7,11,26,134, 15,Montpellier Hérault Rugby,2023-08-20 21:05:00
Stade Français Paris,1,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,28 ,Oyonnax Rugby,2023-08-25 21:05:00
Oyonnax Rugby,2,50 %,50 %,50 %,50 %,50 %,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0, 18,Stade Français Paris,2023-08-25 21:05:00
Stade Rochelais,4,60 %,48 %,44 %,55 %,47 %,8,0,6,2,16,12,2,5,3,10,100,14,15,31,163,35 ,LOU Rugby,2023-08-26 15:00:00
LOU Rugby,2,40 %,52 %,56 %,45 %,53 %,20,0,14,6,12,8,0,4,0,12,149,8,15,24,110, 14,Stade Rochelais,2023-08-26 15:00:00
Union Bordeaux-Bègles,3,55 %,59 %,75 %,41 %,59 %,17,1,12,4,12,9,0,4,2,10,60,4,19,23,92,25 ,Castres Olympique,2023-08-26 17:00:00
Castres Olympique,2,45 %,41 %,25 %,59 %,41 %,8,2,5,1,11,10,1,7,3,9,115,3,19,24,99, 23,Union Bordeaux-Bègles,2023-08-26 17:00:00
ASM Clermont,5,50 %,50 %,57 %,50 %,50 %,5,0,4,1,18,17,4,8,1,10,112,12,34,34,119,38 ,USA Perpignan,2023-08-26 17:00:00
USA Perpignan,2,50 %,50 %,43 %,50 %,50 %,10,1,7,2,10,6,0,3,0,10,118,5,20,30,136, 14,ASM Clermont,2023-08-26 17:00:00
Section Paloise,1,45 %,47 %,30 %,52 %,48 %,8,0,7,1,13,10,0,4,4,8,192,23,27,34,175,19 ,Racing 92,2023-08-26 17:00:00
Racing 92,3,55 %,53 %,70 %,48 %,52 %,5,0,4,1,11,10,1,8,0,7,146,11,27,32,189, 17,Section Paloise,2023-08-26 17:00:00
RC Toulon,1,55 %,51 %,59 %,52 %,50 %,9,1,7,1,21,17,1,4,4,7,111,12,6,33,113,19 ,Aviron Bayonnais,2023-08-26 21:00:00
Aviron Bayonnais,2,45 %,49 %,41 %,48 %,50 %,6,1,4,1,16,12,4,9,0,13,109,12,12,32,105, 14,RC Toulon,2023-08-26 21:00:00
Stade Toulousain,6,44 %,40 %,39 %,63 %,45 %,9,1,7,1,11,11,0,6,0,15,145,21,27,15,136,38 ,Montpellier Hérault Rugby,2023-08-27 21:05:00
Montpellier Hérault Rugby,1,56 %,60 %,61 %,37 %,55 %,6,3,2,1,17,14,0,6,2,14,111,1,32,14,143, 13,Stade Toulousain,2023-08-27 21:05:00
Oyonnax Rugby,2,52 %,58 %,66 %,41 %,56 %,13,1,10,2,15,13,1,7,3,11,98,6,26,21,111,21 ,Stade Toulousain,2023-09-02 15:00:00
Stade Toulousain,3,48 %,42 %,34 %,59 %,44 %,7,0,7,0,10,8,0,10,2,14,101,4,11,18,103, 27,Oyonnax Rugby,2023-09-02 15:00:00
Castres Olympique,4,49 %,45 %,57 %,55 %,45 %,11,0,11,0,12,10,3,7,3,8,154,9,29,24,106,37 ,Aviron Bayonnais,2023-09-02 17:00:00
Aviron Bayonnais,0,51 %,55 %,43 %,45 %,55 %,10,0,7,3,10,5,0,15,0,14,111,14,26,15,183, 0,Castres Olympique,2023-09-02 17:00:00
Stade Français Paris,3,39 %,42 %,26 %,57 %,45 %,5,1,4,0,13,13,2,6,1,14,160,7,14,20,69,24 ,Montpellier Hérault Rugby,2023-09-02 17:00:00
Montpellier Hérault Rugby,0,61 %,58 %,74 %,43 %,55 %,11,0,8,3,14,10,0,4,2,12,72,2,6,21,107, 9,Stade Français Paris,2023-09-02 17:00:00
Section Paloise,4,59 %,53 %,58 %,48 %,53 %,7,0,7,0,8,8,0,4,4,9,84,15,7,24,192,40 ,LOU Rugby,2023-09-02 17:00:00
LOU Rugby,1,41 %,47 %,42 %,52 %,47 %,8,1,5,2,17,15,0,4,1,9,150,11,16,23,130, 10,Section Paloise,2023-09-02 17:00:00
Racing 92,9,52 %,49 %,59 %,53 %,49 %,5,0,4,1,20,18,2,5,0,5,117,11,10,25,149,59 ,USA Perpignan,2023-09-02 17:00:00
USA Perpignan,2,48 %,51 %,41 %,47 %,51 %,12,4,4,4,8,5,0,2,0,16,113,5,33,18,135, 10,Racing 92,2023-09-02 17:00:00
ASM Clermont,1,42 %,48 %,51 %,51 %,50 %,8,2,5,1,15,13,1,7,2,15,139,16,13,28,81,11 ,Stade Rochelais,2023-09-02 21:05:00
Stade Rochelais,1,58 %,52 %,49 %,49 %,50 %,10,1,6,3,16,14,0,6,1,11,90,7,6,32,133, 10,ASM Clermont,2023-09-02 21:05:00
Union Bordeaux-Bègles,1,57 %,52 %,46 %,47 %,52 %,7,1,5,1,12,10,3,4,5,7,84,5,13,46,104,22 ,RC Toulon,2023-09-03 21:05:00
RC Toulon,2,43 %,48 %,54 %,53 %,48 %,4,1,3,0,20,15,2,5,1,8,155,20,15,37,105, 17,Union Bordeaux-Bègles,2023-09-03 21:05:00
Aviron Bayonnais,1,52 %,57 %,69 %,42 %,57 %,6,0,6,0,19,18,6,6,3,14,117,15,6,42,130,16 ,Stade Français Paris,2023-10-29 14:00:00
Stade Français Paris,0,48 %,43 %,31 %,58 %,43 %,9,2,6,1,26,19,1,2,1,12,138,4,14,31,100, 3,Aviron Bayonnais,2023-10-29 14:00:00
USA Perpignan,3,46 %,43 %,66 %,59 %,46 %,10,3,5,2,12,10,0,3,1,14,128,14,28,23,138,24 ,Section Paloise,2023-10-29 16:05:00
Section Paloise,5,54 %,57 %,34 %,41 %,54 %,3,0,3,0,17,16,2,6,2,9,120,5,14,27,188, 39,USA Perpignan,2023-10-29 16:05:00
LOU Rugby,4,43 %,46 %,42 %,54 %,47 %,3,0,3,0,8,6,0,7,5,7,178,23,11,27,122,41 ,ASM Clermont,2023-10-29 16:05:00
ASM Clermont,1,57 %,54 %,58 %,46 %,53 %,9,0,6,3,8,7,2,4,5,11,115,5,19,30,131, 22,LOU Rugby,2023-10-29 16:05:00
Montpellier Hérault Rugby,1,51 %,55 %,49 %,45 %,54 %,10,3,5,2,12,9,0,4,3,8,133,13,19,27,144,16 ,Racing 92,2023-10-29 16:05:00
Racing 92,3,49 %,45 %,51 %,55 %,46 %,8,1,5,2,21,19,0,4,0,15,130,9,16,35,135, 19,Montpellier Hérault Rugby,2023-10-29 16:05:00
RC Toulon,5,59 %,48 %,54 %,52 %,48 %,17,0,15,2,13,9,0,4,2,5,97,8,5,34,115,41 ,Oyonnax Rugby,2023-10-29 16:05:00
Oyonnax Rugby,1,41 %,52 %,46 %,48 %,52 %,6,1,5,0,10,9,1,7,0,21,100,8,19,26,76, 7,RC Toulon,2023-10-29 16:05:00
Stade Rochelais,3,61 %,51 %,65 %,51 %,50 %,11,1,7,3,16,14,0,5,1,9,47,4,21,16,100,24 ,Castres Olympique,2023-10-29 18:10:00
Castres Olympique,3,39 %,49 %,35 %,49 %,50 %,6,3,3,0,12,10,1,2,2,14,113,13,36,18,55, 27,Stade Rochelais,2023-10-29 18:10:00
Stade Toulousain,3,64 %,58 %,55 %,43 %,54 %,1,0,1,0,11,9,2,4,3,11,122,14,10,20,193,29 ,Union Bordeaux-Bègles,2023-10-29 21:05:00
Union Bordeaux-Bègles,1,36 %,42 %,45 %,57 %,46 %,6,3,2,1,10,8,2,5,5,14,208,22,30,23,86, 22,Stade Toulousain,2023-10-29 21:05:00
Oyonnax Rugby,1,44 %,41 %,32 %,59 %,42 %,13,3,10,0,11,6,3,8,4,10,112,5,7,32,65,19 ,Stade Rochelais,2023-11-04 15:00:00
Stade Rochelais,2,56 %,59 %,68 %,41 %,58 %,11,2,8,1,19,12,2,7,1,8,52,3,12,31,78, 17,Oyonnax Rugby,2023-11-04 15:00:00
USA Perpignan,2,47 %,47 %,40 %,49 %,49 %,9,1,7,1,10,8,0,3,4,11,155,9,23,24,142,26 ,RC Toulon,2023-11-04 17:00:00
RC Toulon,3,53 %,53 %,60 %,51 %,51 %,6,1,4,1,13,10,0,7,1,10,119,6,26,24,166, 22,USA Perpignan,2023-11-04 17:00:00
Union Bordeaux-Bègles,3,51 %,56 %,70 %,43 %,54 %,5,0,5,0,11,10,1,5,3,8,135,9,14,23,175,26 ,Montpellier Hérault Rugby,2023-11-04 17:00:00
Montpellier Hérault Rugby,2,49 %,44 %,30 %,57 %,46 %,9,1,7,1,15,14,0,4,1,11,143,9,22,22,111, 13,Union Bordeaux-Bègles,2023-11-04 17:00:00
ASM Clermont,7,59 %,53 %,59 %,47 %,52 %,9,1,7,1,13,11,2,3,1,10,107,7,15,36,129,46 ,Aviron Bayonnais,2023-11-04 17:00:00
Aviron Bayonnais,2,41 %,47 %,41 %,53 %,48 %,2,1,1,0,14,11,2,5,0,12,126,4,36,18,87, 14,ASM Clermont,2023-11-04 17:00:00
Stade Français Paris,6,55 %,54 %,77 %,45 %,54 %,4,1,3,0,20,17,3,4,1,9,94,16,19,34,104,39 ,Castres Olympique,2023-11-04 17:00:00
Castres Olympique,1,45 %,46 %,23 %,55 %,46 %,5,1,4,0,12,8,2,5,3,13,139,9,22,28,120, 16,Stade Français Paris,2023-11-04 17:00:00
Racing 92,3,52 %,55 %,71 %,45 %,55 %,2,0,2,0,16,15,1,8,1,9,98,13,18,30,144,22 ,LOU Rugby,2023-11-04 21:05:00
LOU Rugby,1,48 %,45 %,29 %,55 %,45 %,13,2,8,3,13,12,0,2,5,7,120,15,20,37,136, 20,Racing 92,2023-11-04 21:05:00
Section Paloise,1,50 %,59 %,84 %,43 %,59 %,6,2,4,0,16,12,1,4,2,12,108,13,11,35,127,13 ,Stade Toulousain,2023-11-05 21:05:00
Stade Toulousain,0,50 %,41 %,16 %,57 %,41 %,8,2,4,2,11,9,2,4,3,9,135,9,15,34,95, 9,Section Paloise,2023-11-05 21:05:00
Stade Toulousain,6,53 %,59 %,55 %,40 %,56 %,4,0,4,0,14,11,1,5,1,11,133,2,24,20,173,43 ,USA Perpignan,2023-11-11 15:00:00
USA Perpignan,4,47 %,41 %,45 %,60 %,44 %,6,1,4,1,17,13,2,3,2,10,157,6,25,23,134, 34,Stade Toulousain,2023-11-11 15:00:00
Castres Olympique,5,58 %,53 %,55 %,47 %,53 %,8,3,4,1,11,11,4,8,2,12,72,7,5,29,98,39 ,Oyonnax Rugby,2023-11-11 17:00:00
Oyonnax Rugby,1,42 %,47 %,45 %,53 %,47 %,8,1,6,1,14,8,0,7,2,16,127,10,29,28,31, 11,Castres Olympique,2023-11-11 17:00:00
LOU Rugby,2,53 %,45 %,60 %,56 %,45 %,8,2,4,2,15,12,0,3,6,13,65,1,10,20,105,32 ,Stade Français Paris,2023-11-11 17:00:00
Stade Français Paris,3,47 %,55 %,40 %,44 %,55 %,6,2,3,1,14,13,0,6,5,19,93,11,17,22,78, 36,LOU Rugby,2023-11-11 17:00:00
Montpellier Hérault Rugby,2,45 %,46 %,51 %,56 %,48 %,7,0,6,1,11,9,0,4,1,11,157,7,24,20,111,17 ,ASM Clermont,2023-11-11 17:00:00
ASM Clermont,2,55 %,54 %,49 %,44 %,52 %,9,1,6,2,11,11,1,5,2,12,116,7,19,29,129, 20,Montpellier Hérault Rugby,2023-11-11 17:00:00
Section Paloise,2,51 %,46 %,47 %,55 %,47 %,10,0,8,2,19,16,2,4,2,5,134,8,28,35,120,20 ,Union Bordeaux-Bègles,2023-11-11 17:00:00
Union Bordeaux-Bègles,1,49 %,54 %,53 %,45 %,53 %,2,0,2,0,15,11,1,8,2,10,141,12,11,27,129, 11,Section Paloise,2023-11-11 17:00:00
Stade Rochelais,0,57 %,55 %,66 %,44 %,55 %,12,2,10,0,18,13,0,6,6,11,69,4,18,33,105,18 ,Aviron Bayonnais,2023-11-11 21:05:00
Aviron Bayonnais,0,43 %,45 %,34 %,56 %,45 %,5,1,4,0,14,12,5,7,4,15,114,1,5,29,74, 15,Stade Rochelais,2023-11-11 21:05:00
RC Toulon,4,51 %,47 %,51 %,55 %,47 %,8,0,8,0,12,8,2,2,3,10,162,14,36,26,143,31 ,Racing 92,2023-11-12 21:05:00
Racing 92,4,49 %,53 %,49 %,45 %,53 %,3,1,2,0,13,9,2,6,0,9,143,8,24,18,150, 26,RC Toulon,2023-11-12 21:05:00
Stade Français Paris,0,49 %,53 %,39 %,46 %,53 %,15,2,11,2,13,8,1,8,3,6,141,17,18,25,57,9 ,Racing 92,2023-11-18 15:00:00
Racing 92,1,51 %,47 %,61 %,54 %,47 %,10,1,7,2,11,8,3,13,2,10,104,9,12,25,105, 13,Stade Français Paris,2023-11-18 15:00:00
Aviron Bayonnais,4,55 %,58 %,72 %,42 %,57 %,6,1,4,1,14,12,1,3,3,11,121,4,16,26,113,32 ,Section Paloise,2023-11-18 17:00:00
Section Paloise,1,45 %,42 %,28 %,58 %,43 %,7,0,5,2,16,14,1,6,3,14,148,8,18,23,131, 16,Aviron Bayonnais,2023-11-18 17:00:00
USA Perpignan,2,53 %,46 %,62 %,53 %,46 %,4,1,3,0,16,14,0,6,3,11,107,10,10,33,122,23 ,Montpellier Hérault Rugby,2023-11-18 17:00:00
Montpellier Hérault Rugby,1,47 %,54 %,38 %,47 %,54 %,9,2,5,2,13,11,2,2,3,16,102,12,17,35,94, 16,USA Perpignan,2023-11-18 17:00:00
Oyonnax Rugby,4,51 %,56 %,65 %,43 %,55 %,7,1,6,0,15,12,1,2,4,14,130,17,16,29,104,38 ,LOU Rugby,2023-11-18 17:00:00
LOU Rugby,3,49 %,44 %,35 %,57 %,45 %,2,0,2,0,16,14,1,5,1,13,160,16,18,22,151, 20,Oyonnax Rugby,2023-11-18 17:00:00
ASM Clermont,3,59 %,51 %,55 %,50 %,49 %,5,0,5,0,12,12,2,3,2,13,86,10,18,23,153,27 ,RC Toulon,2023-11-18 17:00:00
RC Toulon,3,41 %,49 %,45 %,50 %,51 %,6,0,5,1,16,10,0,2,3,10,170,18,32,28,104, 30,ASM Clermont,2023-11-18 17:00:00
Castres Olympique,4,49 %,52 %,61 %,48 %,52 %,5,1,4,0,17,11,2,3,1,14,132,8,24,36,87,31 ,Stade Toulousain,2023-11-18 21:05:00
Stade Toulousain,2,51 %,48 %,39 %,52 %,48 %,4,1,3,0,18,15,0,9,3,9,115,14,19,30,116, 23,Castres Olympique,2023-11-18 21:05:00
Stade Rochelais,3,57 %,49 %,59 %,50 %,50 %,5,0,5,0,23,18,2,6,2,8,67,9,12,43,81,25 ,Union Bordeaux-Bègles,2023-11-19 21:05:00
Union Bordeaux-Bègles,2,43 %,51 %,41 %,50 %,50 %,9,1,7,1,12,8,1,3,3,12,88,14,13,45,99, 21,Stade Rochelais,2023-11-19 21:05:00
RC Toulon,4,55 %,53 %,46 %,47 %,53 %,11,2,9,0,11,10,4,1,5,8,96,4,20,29,138,41 ,Castres Olympique,2023-11-25 15:00:00
Castres Olympique,3,45 %,47 %,54 %,53 %,47 %,4,0,2,2,14,5,0,4,0,13,110,3,31,15,91, 19,RC Toulon,2023-11-25 15:00:00
Union Bordeaux-Bègles,7,48 %,51 %,58 %,49 %,52 %,3,1,2,0,15,14,3,3,1,10,161,4,30,28,171,46 ,USA Perpignan,2023-11-25 17:00:00
USA Perpignan,4,52 %,49 %,42 %,51 %,48 %,10,2,5,3,14,11,0,3,0,9,106,8,33,22,174, 22,Union Bordeaux-Bègles,2023-11-25 17:00:00
LOU Rugby,5,50 %,43 %,38 %,58 %,45 %,4,0,4,0,18,16,1,3,2,13,210,16,28,36,149,42 ,Aviron Bayonnais,2023-11-25 17:00:00
Aviron Bayonnais,4,50 %,57 %,62 %,42 %,55 %,2,0,2,0,15,14,1,4,1,10,158,3,33,25,171, 29,LOU Rugby,2023-11-25 17:00:00
Montpellier Hérault Rugby,3,59 %,47 %,54 %,56 %,46 %,10,0,7,3,9,8,4,7,0,7,110,14,17,25,158,21 ,Oyonnax Rugby,2023-11-25 17:00:00
Oyonnax Rugby,4,41 %,53 %,46 %,44 %,54 %,8,1,7,0,11,6,1,1,0,12,178,13,26,33,102, 26,Montpellier Hérault Rugby,2023-11-25 17:00:00
Section Paloise,3,46 %,44 %,41 %,57 %,46 %,6,1,3,2,16,15,0,3,3,9,196,8,15,26,162,30 ,Stade Français Paris,2023-11-25 17:00:00
Stade Français Paris,0,54 %,56 %,59 %,43 %,54 %,6,2,3,1,15,14,0,3,1,9,133,8,11,21,196, 6,Section Paloise,2023-11-25 17:00:00
Stade Toulousain,4,54 %,53 %,51 %,47 %,52 %,4,0,4,0,18,14,1,6,1,6,140,19,10,32,202,31 ,ASM Clermont,2023-11-25 21:05:00
ASM Clermont,1,46 %,47 %,49 %,53 %,48 %,10,1,6,3,15,12,3,6,1,10,164,16,26,35,126, 10,Stade Toulousain,2023-11-25 21:05:00
Racing 92,4,44 %,43 %,35 %,56 %,42 %,6,0,4,2,12,12,6,4,2,17,124,5,21,34,103,32 ,Stade Rochelais,2023-11-26 21:05:00
