equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Stade Français Paris,4,0.45,0.48,0.51,0.52,0.49,8,2,5,1,17,15,1,5,1,8,110,8,20,26,97,31 ,LOU Rugby,2025-05-17 16:30:00,2024-2025,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,18.7,0.0,2.1,43.0,LONGCHAMP
LOU Rugby,3,0.55,0.52,0.49,0.48,0.51,6,1,5,0,13,12,1,5,3,10,80,5,17,24,139, 30,Stade Français Paris,2025-05-17 16:30:00,2024-2025,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,18.7,0.0,2.1,43.0,LONGCHAMP
RC Toulon,3,0.51,0.53,0.61,0.48,0.53,7,0,7,0,15,13,0,9,0,8,124,6,18,25,156, 21,Section Paloise,2025-05-17 16:30:00,2024-2025,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,21.3,0.0,2.4,46.0,GER
Section Paloise,3,0.49,0.47,0.39,0.52,0.47,10,1,8,1,13,12,2,6,2,10,113,7,32,30,104,25 ,RC Toulon,2025-05-17 16:30:00,2024-2025,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,21.3,0.0,2.4,46.0,GER
Stade Toulousain,5,0.54,0.42,0.39,0.6,0.42,6,0,5,1,16,12,1,9,0,13,130,8,9,13,175,35 ,Racing 92,2025-05-17 21:05:00,2024-2025,Stade Toulousain,Local,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,13.9,0.0,0.9,76.0,MURET-LHERM
Racing 92,4,0.46,0.58,0.61,0.4,0.58,7,0,7,0,12,10,2,4,3,16,157,16,33,25,112, 37,Stade Toulousain,2025-05-17 21:05:00,2024-2025,Stade Toulousain,Visitante,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,13.9,0.0,0.9,76.0,MURET-LHERM
Stade Rochelais,5,0.53,0.62,0.71,0.33,0.58,7,0,7,0,16,12,1,6,3,9,108,12,21,19,141,47 ,Montpellier Hérault Rugby,2025-05-18 21:05:00,2024-2025,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,14.6,0.0,1.5,63.0,NUAILLE SUR BOUTONNE
Montpellier Hérault Rugby,2,0.47,0.38,0.29,0.67,0.42,6,0,5,1,15,12,3,3,2,14,149,8,33,14,126, 18,Stade Rochelais,2025-05-18 21:05:00,2024-2025,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,14.6,0.0,1.5,63.0,NUAILLE SUR BOUTONNE
Castres Olympique,4,0.39,0.46,0.39,0.54,0.48,13,1,11,1,12,10,0,7,2,12,145,9,26,17,94,34 ,ASM Clermont,2025-05-24 21:00:00,2024-2025,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,13.4,0.0,2.6,69.0,MONTREDON-LABESSONNIE
ASM Clermont,4,0.61,0.54,0.61,0.46,0.52,5,0,5,0,17,14,1,12,1,10,61,4,23,15,165, 29,Castres Olympique,2025-05-24 21:00:00,2024-2025,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,13.4,0.0,2.6,69.0,MONTREDON-LABESSONNIE
ASM Clermont,7,0.6,0.56,0.93,0.44,0.56,6,1,4,1,14,12,1,5,2,8,68,7,19,27,142,55 ,Stade Français Paris,2025-05-31 14:30:00,2024-2025,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,21.3,0.0,5.6,64.0,SUPERBESSE
Stade Français Paris,1,0.4,0.44,0.07,0.56,0.44,7,2,3,2,15,9,1,4,5,8,149,11,23,30,82, 20,ASM Clermont,2025-05-31 14:30:00,2024-2025,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,21.3,0.0,5.6,64.0,SUPERBESSE
Castres Olympique,4,0.57,0.64,0.73,0.35,0.6,18,1,14,3,15,13,0,8,3,5,81,4,18,24,114,33 ,Aviron Bayonnais,2025-05-31 16:30:00,2024-2025,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,28.1,0.0,2.4,56.0,MONTREDON-LABESSONNIE
Aviron Bayonnais,0,0.43,0.36,0.27,0.65,0.4,7,1,4,2,12,11,0,10,1,18,119,21,26,16,133, 3,Castres Olympique,2025-05-31 16:30:00,2024-2025,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,28.1,0.0,2.4,56.0,MONTREDON-LABESSONNIE
Racing 92,3,0.44,0.52,0.46,0.47,0.52,4,2,2,0,14,11,1,11,2,11,115,8,16,24,141,25 ,Montpellier Hérault Rugby,2025-05-31 16:30:00,2024-2025,Racing 92,Local,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,29.8,0.0,2.8,52.0,LONGCHAMP (Proxy via Stade Français)
