equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Stade Toulousain,2,0.45,0.48,0.34,0.52,0.48,8,0,6,2,22,17,2,5,6,13,135,11,18,34,84,32 ,Aviron Bayonnais,2025-06-20 21:05:00,2024-2025,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,22.3,0.0,1.7,82.0,MURET-LHERM
Aviron Bayonnais,1,0.55,0.52,0.66,0.48,0.52,6,2,4,0,14,11,3,10,6,15,73,6,10,26,104, 25,Stade Toulousain,2025-06-20 21:05:00,2024-2025,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,22.3,0.0,1.7,82.0,MURET-LHERM
Union Bordeaux-Bègles,5,0.53,0.55,0.54,0.45,0.54,8,0,8,0,14,13,2,4,2,9,120,8,18,44,142,39 ,RC Toulon,2025-06-21 21:05:00,2024-2025,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,21.1,0.0,4.5,86.0,ST SULPICE DE POMMIERS
RC Toulon,3,0.47,0.45,0.46,0.55,0.46,9,0,7,2,13,8,0,13,1,7,128,7,26,27,113, 24,Union Bordeaux-Bègles,2025-06-21 21:05:00,2024-2025,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,21.1,0.0,4.5,86.0,ST SULPICE DE POMMIERS
Stade Toulousain,3,0.53,0.57,0.64,0.43,0.56,13,1,8,4,13,9,1,6,6,8,130,10,31,41,139,39 ,Union Bordeaux-Bègles,2025-06-28 21:05:00,2024-2025,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,22.6,0.0,1.2,74.0,MURET-LHERM
Union Bordeaux-Bègles,3,0.47,0.43,0.36,0.57,0.44,9,1,8,0,15,13,2,7,4,17,172,7,25,38,152, 33,Stade Toulousain,2025-06-28 21:05:00,2024-2025,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,22.6,0.0,1.2,74.0,MURET-LHERM
Stade Français Paris,7,0.42,0.51,0.68,0.48,0.52,10,2,6,2,13,11,0,6,0,16,132,15,15,24,97,47 ,US Montauban,2025-09-06 13:00:00,2025-2026,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,23.9,0.0,5.0,46.0,LONGCHAMP
US Montauban,4,0.58,0.49,0.32,0.52,0.48,7,3,3,1,14,14,0,7,0,9,96,2,26,23,199, 24,Stade Français Paris,2025-09-06 13:00:00,2025-2026,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,23.9,0.0,5.0,46.0,LONGCHAMP
USA Perpignan,3,0.58,0.53,0.56,0.47,0.54,4,1,3,0,17,16,0,8,0,11,88,4,23,26,159,19 ,Aviron Bayonnais,2025-09-06 15:00:00,2025-2026,USA Perpignan,Local,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,23.8,0.0,2.3,68.0,SERRALONGUE
Aviron Bayonnais,2,0.42,0.47,0.44,0.53,0.46,13,3,9,1,11,11,0,6,4,12,160,6,30,31,115, 26,USA Perpignan,2025-09-06 15:00:00,2025-2026,USA Perpignan,Visitante,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,23.8,0.0,2.3,68.0,SERRALONGUE
Castres Olympique,2,0.48,0.54,0.74,0.45,0.54,7,2,5,0,15,12,0,5,1,15,134,15,13,19,114,15 ,Section Paloise,2025-09-06 17:00:00,2025-2026,Castres Olympique,Local,Perdedor,Stade Pierre-Fabre,Castres,Tarn,23.3,0.0,5.0,48.0,MONTREDON-LABESSONNIE
Section Paloise,1,0.52,0.46,0.26,0.55,0.46,8,1,6,1,15,12,1,6,4,13,101,5,13,29,87, 17,Castres Olympique,2025-09-06 17:00:00,2025-2026,Castres Olympique,Visitante,Ganador,Stade Pierre-Fabre,Castres,Tarn,23.3,0.0,5.0,48.0,MONTREDON-LABESSONNIE
LOU Rugby,4,0.56,0.53,0.66,0.47,0.52,10,2,7,1,18,16,1,7,2,8,85,10,14,27,114,32 ,Racing 92,2025-09-06 17:00:00,2025-2026,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,26.0,0.0,2.8,37.0,BRINDAS
